ID,QC,MASK_ERROR,WM_PERCENT,GM_PERCENT,CSF_PERCENT,SC_PERCENT,BRAIN_VOL,CEREBRUM_VOL,CORTICAL_GM,WHITE_VOL,SUBGM_VOL,SC_VOL,CSF_VENT_VOL,LEFT_WM_AREA,LEFT_MID_AREA,LEFT_GM_AREA,RIGHT_WM_AREA,RIGHT_MID_AREA,RIGHT_GM_AREA,GI_LEFT,GI_RIGHT,LEFT_INTER,RIGHT_INTER,LEFT_SURF_SURF,RIGHT_SURF_SURF,LAPLACIAN_MIN,LAPLACIAN_MAX,LAPLACIAN_MEAN,GRAY_LEFT_RES,GRAY_RIGHT_RES
0,1,9.14208012011014,39.24331662518205,41.53980430238161,10.958279083709211,2.871006600485548,1430.2420344821967,1139.816805252389,521.3201806803737,545.9580374510292,82.91091724742594,37.9643621248893,29.072609233747485,116453.42184735948,91768.35745529529,124750.73000612225,117018.6858813788,96153.9193547715,108065.73547709857,2.3723986550651333,2.3428161073203095,36.3949555563371,10.968754382062034,139.95966713827127,7.728882603281633,10.50511130295197,10.899648372871125,9.995537166616629,0.009741368714309298,0.008849898346303267
1,1,10.001471530056557,37.44510657155361,45.01074574824969,7.267621581827035,2.8455921850271624,1326.4500261455887,1603.5043907232694,758.2751518359797,476.6904120091627,76.49917252165454,38.065910217680965,24.987575388019003,97947.74507689498,114815.1732233012,116367.42828977476,96797.6787082314,119867.48804706894,105590.97848693973,2.5433390572429784,2.4429758119914924,69.02542598354046,-0.18346469824851397,-9.07734703210642,-10.065814009437108,9.244449309635424,10.828540251581435,9.992013468540984,0.007717181910158369,0.010996207062191905
2,1,6.501049327238165,35.948755896958986,43.04963112831389,10.290855166265557,2.5815443135074854,1484.0488763632802,1297.105525289647,692.1708294612504,510.94634601982665,76.96339209944138,33.25021402552307,21.686780596260334,89551.26364326946,109034.36260167888,119904.66134125835,124516.75880775265,88611.75241905624,108681.31478935218,2.34880867347014,2.538588621529282,40.90319921264762,30.33017586031407,31.619864981054896,2.24350720515098,5.963712247622269,10.847776132741199,9.992753293851461,0.005276944296485087,0.006729689367385515
3,1,8.00505752157318,40.75259451964303,49.11908002366761,6.7587971676293765,2.498033960989164,1578.6056092357303,1384.5195787938458,535.9062611333628,501.951483194253,82.05699383797086,20.268074110740166,2.0948190104970585,100224.76909918145,101044.69511177132,122357.17771707222,116931.7525617324,116758.77196385326,93586.4104403542,2.4272929518526616,2.369270004625156,69.7014512463092,30.104782680603094,-41.210629324739216,21.44775671139145,10.641402045438928,10.80039860542333,9.994283104187703,0.006169448650861922,0.008975540852617191
4,0,8.957067835499592,46.67441335097799,51.35972607770986,1.7751024025750706,2.37077733560877,1454.681428557263,1130.9084268398642,570.4417342787868,440.4242943379603,62.017348805466995,27.62023516631812,9.26361137250351,110775.21913125599,101961.69458666487,96731.48627836475,108304.88326068834,107973.16241387877,98097.30840364557,2.6588858453160227,2.437909236840916,47.42057718218243,95.10373186679584,133.2831264024025,179.0299323051453,8.829517799720751,11.542228695964074,9.861699021363497,0.1462223683526788,0.07834629933517198
5,0,6.519445480786475,38.568358002627185,54.88090390720962,14.86643855201181,3.0697803336450233,1504.031295095813,1086.8522696097587,560.2776431116768,456.8397655491519,67.92115662521557,34.8030183122556,5.961953359329909,114838.12724195112,107294.65317111851,91047.40972263896,99608.09120165744,105402.86965578068,90994.6064945041,2.515677518554694,2.5281701494846365,106.8991764566166,61.46745011060138,278.40984043325847,229.82943608739882,7.367215791124216,11.528817375632473,10.045293947716843,0.16721703713316238,-0.07440133430181543
6,1,7.584111017740083,35.79087751247486,47.06900363308434,11.629381480584406,2.619098992353438,1415.3623903835837,1228.8433376088049,655.5764631790244,632.070011822125,52.428225714290036,36.41510254045533,14.904847751206018,94340.16618239571,105898.19212981437,89745.46168695572,105720.1441651399,100245.83804071385,120136.70369257657,2.4693680627703394,2.4318279829021545,54.438081032626165,70.08904129549735,-27.320767419953068,34.355202375779044,7.984176631217364,10.819303128460785,9.99600917601851,0.011354533528993647,0.006867171353839025
7,0,6.527137041415568,34.332718259559506,51.505775369450966,11.047986760025656,2.007661527164199,1038.17658614692,1122.1781117835367,531.8850458446717,544.287296649268,52.64467800045239,29.892843625907656,5.187155119147036,95544.63665589789,109123.34812156901,104256.00687463087,98954.65910174606,98550.72509270103,114110.28582076363,2.470068725084947,2.561873685043289,85.14927544257588,70.92584180464362,207.76954159555865,197.1899374518678,8.457154743111584,11.105549520547756,9.945531043281852,0.02871046614032563,-0.22325748742154478
8,1,9.241146267054722,41.02143944491518,45.072101102114146,9.126848197928936,2.900145746364732,1483.702604967462,1262.6581699178128,564.6021294876597,469.12353308912213,68.06646682929873,37.39898530472928,17.076689481086103,101147.83026511784,102706.87509918181,128237.48901497711,121041.17499692927,115517.85733204271,122258.95976227148,2.4735666595246664,2.6171127144630875,33.75600800606961,2.383721633033744,32.935988532500254,-10.6220366243193,9.03495604428494,10.757785445293171,9.994821232049674,0.008438495614135087,0.0099486272158061
9,1,10.254214960287445,42.733384167516974,45.20745775607304,11.033074539809382,3.4085592616551392,1063.5140123822816,1549.5226881303101,704.0883365776763,621.0543572557546,89.87299645774377,33.77838503747328,-1.9148676687678847,102146.40267513988,93855.09314427612,120049.53633213983,107504.86594412866,103080.22426773846,105836.95283984423,2.4387264581417654,2.231365974846577,95.3531199330663,-11.611466670351227,56.07566490473063,-23.045951602661624,8.863040873594645,10.894520153786377,9.992688094648242,0.007781128059007255,0.006878042801925185
